"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "JavaScript", "HTML", "Docker", "Ignore", "PostCSS", "Shell Script", "YAML", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\github\NODE-JS\work\periodtracker\app\jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"d:\github\NODE-JS\work\periodtracker\app\package.json", "JSON", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"d:\github\NODE-JS\work\periodtracker\app\removeUnusedAssets.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 77
"d:\github\NODE-JS\work\periodtracker\app\src\components\A.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 8, 56
"d:\github\NODE-JS\work\periodtracker\app\src\components\AnimatedContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 8, 41
"d:\github\NODE-JS\work\periodtracker\app\src\components\AudioPlayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 14, 107
"d:\github\NODE-JS\work\periodtracker\app\src\components\Avatar\AvatarMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 50
"d:\github\NODE-JS\work\periodtracker\app\src\components\Avatar\HeartAnimation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 2, 21, 152
"d:\github\NODE-JS\work\periodtracker\app\src\components\Avatar\ProgressBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 3, 51
"d:\github\NODE-JS\work\periodtracker\app\src\components\Avatar\ProgressSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 3, 13, 141
"d:\github\NODE-JS\work\periodtracker\app\src\components\Avatar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 3, 24, 196
"d:\github\NODE-JS\work\periodtracker\app\src\components\Background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"d:\github\NODE-JS\work\periodtracker\app\src\components\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 12, 160
"d:\github\NODE-JS\work\periodtracker\app\src\components\CheckButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\github\NODE-JS\work\periodtracker\app\src\components\Checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 7, 80
"d:\github\NODE-JS\work\periodtracker\app\src\components\DailyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 3, 24, 214
"d:\github\NODE-JS\work\periodtracker\app\src\components\DateBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 6, 92
"d:\github\NODE-JS\work\periodtracker\app\src\components\DatePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 9, 94
"d:\github\NODE-JS\work\periodtracker\app\src\components\DayModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 32, 31, 415
"d:\github\NODE-JS\work\periodtracker\app\src\components\EmojiBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 7, 109
"d:\github\NODE-JS\work\periodtracker\app\src\components\ErrorText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\github\NODE-JS\work\periodtracker\app\src\components\Hr.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"d:\github\NODE-JS\work\periodtracker\app\src\components\IconButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 6, 77
"d:\github\NODE-JS\work\periodtracker\app\src\components\InfoButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 7, 64
"d:\github\NODE-JS\work\periodtracker\app\src\components\InfoDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 4, 48
"d:\github\NODE-JS\work\periodtracker\app\src\components\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 2, 9, 152
"d:\github\NODE-JS\work\periodtracker\app\src\components\LanguageSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 10, 59
"d:\github\NODE-JS\work\periodtracker\app\src\components\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 7, 93
"d:\github\NODE-JS\work\periodtracker\app\src\components\Screen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 53
"d:\github\NODE-JS\work\periodtracker\app\src\components\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 6, 53
