Date : 2026-01-16 09:51:03
Directory : d:\github\NODE-JS\work\periodtracker
Total : 606 files,  81852 codes, 1580 comments, 7072 blanks, all 90504 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\Circle.test.tsx                                            | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\CircleOutline.test.tsx                                     | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\Cloud.test.tsx                                             | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\CloudOutline.test.tsx                                      | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\Star.test.tsx                                              | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\StarOutline.test.tsx                                       | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\UserIcon.test.tsx                                          | TypeScript JSX     |         10 |          0 |          2 |         12 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useAccessibilityLabel.test.ts                                         | TypeScript         |         41 |          0 |          7 |         48 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useFormatDate.test.ts                                                 | TypeScript         |         60 |          0 |         14 |         74 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useMonths.test.ts                                                     | TypeScript         |        144 |          0 |         10 |        154 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useTranslate.test.ts                                                  | TypeScript         |         67 |          0 |         19 |         86 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\didyouknow.test.ts                                                  | TypeScript         |         42 |          0 |          7 |         49 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\encyclopedia.test.ts                                                | TypeScript         |        163 |          0 |          9 |        172 |
| d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\quiz.test.ts                                                        | TypeScript         |         77 |          0 |          8 |         85 |
